no,jp,en,video,lv,note,scene,hint_1,hint_2,explain_meaning,explain_nuance,explain_grammar,similars
31,どうしたんですか？,What happened?,1,1,状況や相手の様子がおかしい時に使う。,daily,What を使う,過去形を使う,何が起こったのか理由を尋ねる表現,相手の様子がおかしい時や事情を知りたい時に使う,What happened? は過去形で「何があった？」,What's wrong?|What's the matter?|Is everything OK?
32,さっきはごめんなさい。,Sorry about earlier.,1,1,直前の出来事について軽く謝る表現。,relationship,earlier を使う,about を使う,先ほどの出来事について謝罪する,時間を置いてから軽く謝る時に便利,earlier は「先ほど」という意味の副詞,Sorry about that|My apologies earlier|Sorry for what happened
33,来られますか？,Can you make it?,1,1,予定やイベントに参加できるか聞く。,daily,make it で「間に合う」,Can you を使う,予定に参加できるか・都合がつくか尋ねる,make it は「成功する・間に合う」という慣用表現,Can you make it? で参加可否を聞く,Can you come?|Are you available?|Will you be there?
34,何か提案はありますか？,What do you suggest?,1,1,相手の意見やアイデアを求める。,work,suggest を使う,What を使う,相手の提案や意見を求める表現,アドバイスや代替案を求める丁寧な聞き方,suggest は「提案する」という動詞,What's your suggestion?|Any suggestions?|What would you recommend?
35,時間を取ってくれてありがとう。,Thanks for your time.,1,1,忙しい中対応してもらった時。,work,time を使う,Thanks for の後に名詞,貴重な時間を割いてもらったことへの感謝,ミーティングや面談の終わりに使う定番,for your time で「お時間をいただいて」,Thank you for your time|I appreciate your time|Thanks for making time
36,できる限りやってみます。,I'll see what I can do.,1,1,確約せず努力する意思を示す。,work,see what を使う,can do で「できること」,確約はできないが努力すると伝える表現,期待値を上げすぎず、でも協力的な印象,I'll see what I can do は慣用表現,I'll try my best|I'll do what I can|Let me see what's possible
37,全て順調です。,Everything is going well.,1,1,進捗や状況が良好な時。,daily,Everything を主語に,going well で「順調」,全てが良い方向に進んでいることを伝える,状況報告で使う前向きな表現,be going well は現在進行形で「順調に進んでいる」,Things are going well|All is good|Everything's fine
38,こちらこそ。,My pleasure.,1,1,感謝された時の丁寧な返し。,service,pleasure を使う,My で始まる,「どういたしまして」の丁寧な言い方,You're welcome よりフォーマルで親切な印象,My pleasure は「私の喜びです」という意味,It's my pleasure|You're welcome|Anytime
39,大したことないですよ。,It's nothing.,1,1,お礼や謝罪に対する軽い返答。,daily,nothing を使う,It's で始まる,「大したことじゃない」と軽く返す表現,謙遜や謝罪への返答として使う,It's nothing は「何でもない」という慣用表現,No big deal|Don't worry about it|It's no problem
40,お待ちいただきありがとうございます。,Thanks for waiting.,1,1,待たせた相手への第一声。,service,waiting を使う,Thanks for の形,相手を待たせたことへの感謝,Sorry for the wait の代わりに使える前向きな表現,Thanks for + 動名詞で感謝を表す,Thank you for waiting|Appreciate your patience|Sorry for the wait
41,また連絡します。,I'll let you know.,1,1,後で情報を共有する時。,work,let you know で「知らせる」,I'll で始まる,後で情報を伝えることを約束する表現,詳細が分かり次第連絡する意思を示す,let someone know は「知らせる」という慣用表現,I'll keep you posted|I'll update you|I'll be in touch
42,ご遠慮なく聞いてください。,Feel free to ask.,1,1,相手に安心して質問させる。,work,Feel free を使う,ask を使う,遠慮せず質問してほしいと伝える,質問を歓迎する親切な表現,Feel free to + 動詞の原形,Don't hesitate to ask|Please ask|Ask me anything
43,自分がいいと思うようにして。,Do what feels right.,1,1,相手の判断を尊重する。,relationship,feels を使う,what を使う,自分の直感や判断を信じて行動してと伝える,相手の自主性を尊重する表現,what feels right は「正しいと感じること」,Follow your gut|Do what you think is best|Trust your instinct
44,詳しく教えてもらえますか？,Could you elaborate?,1,1,説明が足りない時に使う。,work,elaborate を使う,Could you で丁寧に,もっと詳しく説明してほしいと依頼する,説明が不十分な時の丁寧な聞き方,elaborate は「詳しく述べる」という動詞,Could you explain more?|Can you go into detail?|Could you be more specific?
45,ご理解ありがとうございます。,Thanks for understanding.,1,1,無理なお願いや説明の後。,service,understanding を使う,Thanks for の形,理解してくれたことへの感謝,不便や変更を受け入れてもらった時に使う,Thanks for + 動名詞で感謝,Thank you for understanding|I appreciate your understanding|Thanks for being understanding
46,楽しんでください。,Enjoy yourself.,1,1,出かける人への一言。,daily,Enjoy を使う,yourself を使う,楽しい時間を過ごしてと伝える挨拶,イベントや外出前の気の利いた一言,Enjoy yourself は命令形だが親切な表現,Have fun|Have a good time|Enjoy
47,念のため確認します。,I'll double-check.,1,1,ミス防止のため再確認。,work,double を使う,check を使う,念のためもう一度確認すると伝える,慎重さや丁寧さを示す表現,double-check は「二重確認する」という動詞,I'll check again|Let me verify|I'll confirm
48,ちょっと違います。,That's not quite right.,1,1,やんわり訂正する表現。,work,quite を使う,not を使う,完全に正しくはないとやんわり指摘する,直接的な否定を避ける丁寧な訂正,not quite は「完全には〜ない」という表現,That's not exactly right|Not quite|That's a bit off
49,確認してみます。,Let me check.,1,1,情報や状況を調べる時。,service,Let me を使う,check を使う,今から確認すると伝える表現,すぐに調べて答える意思を示す,Let me + 動詞の原形で「させてください」,I'll check|Let me see|I'll look into it
